words,good_probs,Length,Thresh,Flag
vmwjc,0.004642417,5,0.05409819,TRUE
hwvpc,0.004643353,5,0.05409819,TRUE
fgvxf,0.004658989,5,0.05409819,TRUE
jgpqm,0.004678012,5,0.05409819,TRUE
pccoe,0.004679758,5,0.05409819,TRUE
gqvhp,0.004679918,5,0.05409819,TRUE
vmcxfv,0.004686441,6,0.05409819,TRUE
vpxrr,0.004687625,5,0.05409819,TRUE
vhwwvm,0.004698065,6,0.05409819,TRUE
hphcx,0.00470508,5,0.05409819,TRUE
wmgwmc,0.00472136,6,0.05409819,TRUE
mqfgf,0.00472726,5,0.05409819,TRUE
fcmhqf,0.004730207,6,0.05409819,TRUE
fcxwv,0.00473169,5,0.05409819,TRUE
wpwrw,0.004733415,5,0.05409819,TRUE
jrhjrw,0.004735286,6,0.05409819,TRUE
fcwwjc,0.004735793,6,0.05409819,TRUE
wmhhp,0.004741695,5,0.05409819,TRUE
fwcqr,0.004742007,5,0.05409819,TRUE
vwqwg,0.004743712,5,0.05409819,TRUE
jxvpc,0.004745421,5,0.05409819,TRUE
gvwrxp,0.004745809,6,0.05409819,TRUE
rvhvg,0.004752229,5,0.05409819,TRUE
xfwvx,0.004756377,5,0.05409819,TRUE
rqrwm,0.004759866,5,0.05409819,TRUE
cgxwhc,0.00476113,6,0.05409819,TRUE
hqrxpq,0.004762898,6,0.05409819,TRUE
hpwjwm,0.004763053,6,0.05409819,TRUE
fjfmg,0.004781483,5,0.05409819,TRUE
vrgvq,0.004782395,5,0.05409819,TRUE
fjhjw,0.004793828,5,0.05409819,TRUE
wpxjxhc,0.00479496,7,0.05409819,TRUE
wjvgc,0.004803396,5,0.05409819,TRUE
vjhpq,0.004811692,5,0.05409819,TRUE
mcphh,0.004812663,5,0.05409819,TRUE
wmggw,0.004813898,5,0.05409819,TRUE
wgxgqc,0.004819712,6,0.05409819,TRUE
fjhfg,0.004824349,5,0.05409819,TRUE
vhhwx,0.004826644,5,0.05409819,TRUE
pcfph,0.004827812,5,0.05409819,TRUE
gqgjv,0.004828044,5,0.05409819,TRUE
rhwpj,0.00483474,5,0.05409819,TRUE
wjpvc,0.004836411,5,0.05409819,TRUE
qvfvwp,0.00483643,6,0.05409819,TRUE
jpgjf,0.004839349,5,0.05409819,TRUE
jpmcc,0.004848308,5,0.05409819,TRUE
xpfpg,0.004850491,5,0.05409819,TRUE
gvvjh,0.004852631,5,0.05409819,TRUE
jfmmww,0.004852762,6,0.05409819,TRUE
fvrxh,0.004856016,5,0.05409819,TRUE
gccwh,0.004861907,5,0.05409819,TRUE
vjmgwq,0.004861972,6,0.05409819,TRUE
chslbs,0.004870833,6,0.05409819,TRUE
jcmxc,0.004877911,5,0.05409819,TRUE
wgfxcf,0.004880157,6,0.05409819,TRUE
vjmrx,0.00488137,5,0.05409819,TRUE
cxrvq,0.004882825,5,0.05409819,TRUE
cqqpf,0.004884758,5,0.05409819,TRUE
wjgwq,0.004885846,5,0.05409819,TRUE
wmhvh,0.004896878,5,0.05409819,TRUE
dpcoe,0.00489747,5,0.05409819,TRUE
gqpxw,0.004898107,5,0.05409819,TRUE
hqmxh,0.004899635,5,0.05409819,TRUE
cgvppm,0.004901072,6,0.05409819,TRUE
fpqrvf,0.004902118,6,0.05409819,TRUE
vgjvmr,0.004906241,6,0.05409819,TRUE
jxvfh,0.004911783,5,0.05409819,TRUE
vjmcvqr,0.004913176,7,0.05409819,TRUE
wgphgg,0.004924522,6,0.05409819,TRUE
rjxvwg,0.004928165,6,0.05409819,TRUE
hfgmpm,0.004928305,6,0.05409819,TRUE
cwjpm,0.00493046,5,0.05409819,TRUE
vhhwc,0.00493469,5,0.05409819,TRUE
wcpxm,0.004941149,5,0.05409819,TRUE
wmxpf,0.004952085,5,0.05409819,TRUE
wmxpgjw,0.004953435,7,0.05409819,TRUE
cffhc,0.004958634,5,0.05409819,TRUE
mxgqp,0.004959872,5,0.05409819,TRUE
ccgrq,0.004971421,5,0.05409819,TRUE
hrxccv,0.00498583,6,0.05409819,TRUE
rmvwr,0.004990135,5,0.05409819,TRUE
gqxhj,0.004991369,5,0.05409819,TRUE
cfqjgj,0.004992106,6,0.05409819,TRUE
fhfhw,0.004993465,5,0.05409819,TRUE
wwxvj,0.004996421,5,0.05409819,TRUE
mjcgjmjc,0.005005403,8,0.05409819,TRUE
ltdth,0.005013081,5,0.05409819,TRUE
cvhrgv,0.00502214,6,0.05409819,TRUE
fgxrmw,0.005036707,6,0.05409819,TRUE
wjwgc,0.005037384,5,0.05409819,TRUE
xjgjvw,0.005037483,6,0.05409819,TRUE
fvmqx,0.005043065,5,0.05409819,TRUE
fvfppj,0.005047238,6,0.05409819,TRUE
fcgxq,0.005053757,5,0.05409819,TRUE
jqwcj,0.005055812,5,0.05409819,TRUE
vwxjv,0.005061964,5,0.05409819,TRUE
jccqm,0.005073707,5,0.05409819,TRUE
vppmhx,0.005082228,6,0.05409819,TRUE
cqqmhj,0.00508707,6,0.05409819,TRUE
fcfvqj,0.005088041,6,0.05409819,TRUE
rqgqq,0.005090373,5,0.05409819,TRUE
wcjqh,0.005102847,5,0.05409819,TRUE
xrcgcw,0.005104241,6,0.05409819,TRUE
wpjvqg,0.005116159,6,0.05409819,TRUE
fmrcvv,0.005119355,6,0.05409819,TRUE
cxxfcm,0.005120607,6,0.05409819,TRUE
wmgvr,0.005121074,5,0.05409819,TRUE
jfwfw,0.005121609,5,0.05409819,TRUE
fxfmq,0.005124692,5,0.05409819,TRUE
cgrhx,0.005124719,5,0.05409819,TRUE
gmqjj,0.005125991,5,0.05409819,TRUE
gvwhp,0.005136844,5,0.05409819,TRUE
gqfcg,0.005137572,5,0.05409819,TRUE
fmjrh,0.005144356,5,0.05409819,TRUE
vhmgm,0.00514574,5,0.05409819,TRUE
vwvhr,0.005146292,5,0.05409819,TRUE
vhwwg,0.005146471,5,0.05409819,TRUE
rmwgxrg,0.005168858,7,0.05409819,TRUE
cjrmg,0.005171362,5,0.05409819,TRUE
wjmvg,0.00518846,5,0.05409819,TRUE
gprhg,0.005191793,5,0.05409819,TRUE
wfhmv,0.005191804,5,0.05409819,TRUE
cfcph,0.005195529,5,0.05409819,TRUE
hfvxjp,0.005197267,6,0.05409819,TRUE
vxjfq,0.00520506,5,0.05409819,TRUE
vgpxqm,0.005220015,6,0.05409819,TRUE
chsltd,0.005230073,6,0.05409819,TRUE
ffmvpw,0.005232962,6,0.05409819,TRUE
wmgwp,0.005237307,5,0.05409819,TRUE
wjmhg,0.005255048,5,0.05409819,TRUE
jfjfm,0.005255778,5,0.05409819,TRUE
wmqfp,0.005259617,5,0.05409819,TRUE
wjcgvr,0.00526369,6,0.05409819,TRUE
mrwpg,0.005269408,5,0.05409819,TRUE
wmgxr,0.005269999,5,0.05409819,TRUE
fwrwfj,0.005270547,6,0.05409819,TRUE
wpxvjg,0.005271633,6,0.05409819,TRUE
